week,puccini,verdi,mozart,wagner,bizet
2005-01-02,14,31,20,19,34
2005-01-09,8,17,17,11,26
2005-01-16,9,23,18,8,8
2005-01-23,11,22,24,8,8
2005-01-30,9,52,16,9,10
2005-02-06,7,23,21,15,11
2005-02-13,12,18,20,10,12
2005-02-20,8,21,14,17,9
2005-02-27,19,17,18,11,9
2005-03-06,23,20,12,8,9
2005-03-13,11,14,21,16,6
2005-03-20,6,16,15,11,6
2005-03-27,7,18,16,18,8
2005-04-03,11,28,15,13,6
2005-04-10,10,19,16,10,6
2005-04-17,15,21,27,23,5
2005-04-24,14,35,17,11,6
2005-05-01,11,20,20,13,6
2005-05-08,8,16,10,10,7
2005-05-15,9,15,16,11,6
2005-05-22,7,15,18,9,6
2005-05-29,6,28,12,8,5
2005-06-05,12,14,15,10,6
2005-06-12,7,15,10,10,7
2005-06-19,13,12,17,13,7
2005-06-26,9,14,13,10,8
2005-07-03,9,15,15,8,9
2005-07-10,5,21,14,8,9
2005-07-17,5,14,10,6,7
2005-07-24,7,11,7,13,7
2005-07-31,10,46,11,11,7
2005-08-07,7,15,6,11,7
2005-08-14,11,18,13,12,7
2005-08-21,6,17,9,8,13
2005-08-28,8,18,11,10,9
2005-09-04,9,11,10,7,9
2005-09-11,8,18,10,5,9
2005-09-18,5,21,11,11,9
2005-09-25,10,31,16,7,9
2005-10-02,11,18,14,11,8
2005-10-09,9,12,15,13,8
2005-10-16,12,21,13,13,6
2005-10-23,11,15,19,13,8
2005-10-30,7,17,19,8,5
2005-11-06,17,13,15,12,7
2005-11-13,12,19,17,9,4
2005-11-20,8,19,15,8,4
2005-11-27,7,17,14,12,7
2005-12-04,13,18,12,9,5
2005-12-11,9,17,11,10,5
2005-12-18,15,9,14,9,5
2005-12-25,5,12,21,6,5
2006-01-01,7,16,24,10,5
2006-01-08,5,14,26,12,14
2006-01-15,7,12,30,9,4
2006-01-22,6,45,64,10,4
2006-01-29,8,22,45,9,5
2006-02-05,8,32,34,10,4
2006-02-12,17,16,26,9,5
2006-02-19,9,19,30,13,4
2006-02-26,8,20,26,8,5
2006-03-05,6,34,22,9,6
